timestamp,sensor_id,value,is_valid
2026-07-17 10:00:00,PRS,102.96,True
2026-07-17 10:01:00,PRS,101.23,True
2026-07-17 10:02:00,PRS,102.37,True
2026-07-17 10:03:00,PRS,99.92,False
2026-07-17 10:04:00,PRS,100.26,True
2026-07-17 10:05:00,PRS,99.84,True
2026-07-17 10:06:00,PRS,102.51,True
2026-07-17 10:07:00,PRS,101.62,True
2026-07-17 10:08:00,PRS,102.66,True
2026-07-17 10:09:00,PRS,100.06,True
2026-07-17 10:10:00,PRS,101.25,True
2026-07-17 10:11:00,PRS,101.34,True
2026-07-17 10:12:00,PRS,100.6,True
2026-07-17 10:13:00,PRS,102.99,True
2026-07-17 10:14:00,PRS,99.36,False
2026-07-17 10:15:00,PRS,99.44,True
2026-07-17 10:16:00,PRS,102.17,True
2026-07-17 10:17:00,PRS,99.25,True
2026-07-17 10:18:00,PRS,102.98,True
2026-07-17 10:19:00,PRS,102.88,True
2026-07-17 10:20:00,PRS,99.05,True
2026-07-17 10:21:00,PRS,101.73,True
2026-07-17 10:22:00,PRS,100.07,True
2026-07-17 10:23:00,PRS,99.45,True
2026-07-17 10:24:00,PRS,100.81,True
