timestamp,sensor_id,value,unit,is_valid
2026-07-18 08:00:00,PRS,,kPa,True
2026-07-18 08:05:00,TMP,25.49,,False
2026-07-18 08:10:00,PRS,100.67,kPa,True
2026-07-18 08:15:00,HUM,36.19,%,True
2026-07-18 08:20:00,HUM,59.28,%,False
2026-07-18 08:25:00,TMP,24.34,C,True
2026-07-18 08:30:00,HUM,39.04,%,True
2026-07-18 08:35:00,HUM,65.61,%,True
2026-07-18 08:40:00,HUM,51.38,%,True
2026-07-18 08:45:00,PRS,99.99,kPa,True
2026-07-18 08:50:00,PRS,101.1,kPa,True
2026-07-18 08:55:00,TMP,21.77,C,True
2026-07-18 09:00:00,PRS,,kPa,True
2026-07-18 09:05:00,PRS,100.36,kPa,True
2026-07-18 09:10:00,TMP,32.6,C,True
2026-07-18 09:15:00,TMP,30.97,C,True
2026-07-18 09:20:00,PRS,100.14,,True
2026-07-18 09:25:00,PRS,100.42,kPa,True
2026-07-18 09:30:00,PRS,99.52,kPa,True
2026-07-18 09:35:00,TMP,22.5,C,True
2026-07-18 09:40:00,PRS,102.46,kPa,True
2026-07-18 09:45:00,PRS,102.83,kPa,True
2026-07-18 09:50:00,TMP,20.18,C,True
2026-07-18 09:55:00,TMP,26.28,C,True
2026-07-18 10:00:00,HUM,72.96,%,True
2026-07-18 10:05:00,PRS,102.6,kPa,True
2026-07-18 10:10:00,PRS,100.59,kPa,True
2026-07-18 10:15:00,TMP,21.01,C,True
2026-07-18 10:20:00,TMP,21.54,C,True
2026-07-18 10:25:00,HUM,31.28,%,True
2026-07-18 10:30:00,PRS,102.82,kPa,True
2026-07-18 10:35:00,PRS,102.97,kPa,True
2026-07-18 10:40:00,TMP,31.25,C,True
2026-07-18 10:45:00,HUM,31.15,%,True
2026-07-18 10:50:00,HUM,75.71,%,True
2026-07-18 10:55:00,TMP,30.44,C,True
2026-07-18 11:00:00,TMP,27.99,C,True
2026-07-18 11:05:00,TMP,32.09,C,True
2026-07-18 11:10:00,HUM,54.64,%,True
2026-07-18 11:15:00,PRS,100.04,kPa,True
2026-07-18 11:20:00,HUM,79.4,%,True
2026-07-18 11:25:00,TMP,27.05,C,True
2026-07-18 11:30:00,HUM,72.02,%,True
2026-07-18 11:35:00,TMP,32.52,C,False
2026-07-18 11:40:00,TMP,27.17,C,True
2026-07-18 11:45:00,HUM,49.79,%,True
2026-07-18 11:50:00,TMP,34.9,C,False
2026-07-18 11:55:00,HUM,37.31,%,True
2026-07-18 12:00:00,PRS,,kPa,True
2026-07-18 12:05:00,HUM,62.48,%,True
2026-07-18 12:10:00,TMP,32.39,C,True
2026-07-18 12:15:00,TMP,31.46,C,True
2026-07-18 12:20:00,TMP,33.65,C,True
2026-07-18 12:25:00,HUM,51.03,%,True
2026-07-18 12:30:00,HUM,55.53,%,True
2026-07-18 12:35:00,TMP,22.59,C,True
2026-07-18 12:40:00,PRS,101.73,kPa,True
2026-07-18 12:45:00,HUM,,%,True
2026-07-18 12:50:00,PRS,101.25,kPa,True
2026-07-18 12:55:00,HUM,78.67,%,True
