timestamp,sensor_id,value,is_valid
2026-07-17 10:00:00,HUM,73.79,True
2026-07-17 10:01:00,HUM,55.03,True
2026-07-17 10:02:00,HUM,75.63,True
2026-07-17 10:03:00,HUM,44.92,True
2026-07-17 10:04:00,HUM,60.45,True
2026-07-17 10:05:00,HUM,68.13,True
2026-07-17 10:06:00,HUM,68.93,True
2026-07-17 10:07:00,HUM,30.03,True
2026-07-17 10:08:00,HUM,30.97,True
2026-07-17 10:09:00,HUM,73.94,True
2026-07-17 10:10:00,HUM,45.38,False
2026-07-17 10:11:00,HUM,73.9,True
2026-07-17 10:12:00,HUM,34.28,True
2026-07-17 10:13:00,HUM,33.46,True
2026-07-17 10:14:00,HUM,68.29,True
2026-07-17 10:15:00,HUM,53.76,True
2026-07-17 10:16:00,HUM,43.25,True
2026-07-17 10:17:00,HUM,51.16,True
2026-07-17 10:18:00,HUM,56.96,True
2026-07-17 10:19:00,HUM,40.06,True
