timestamp,sensor_id,value,is_valid
2026-07-17 10:00:00,TMP,29.59,False
2026-07-17 10:01:00,TMP,24.13,True
2026-07-17 10:02:00,TMP,31.05,True
2026-07-17 10:03:00,TMP,33.38,False
2026-07-17 10:04:00,TMP,26.33,False
2026-07-17 10:05:00,TMP,23.28,True
2026-07-17 10:06:00,TMP,20.4,True
2026-07-17 10:07:00,TMP,29.75,True
2026-07-17 10:08:00,TMP,23.31,True
2026-07-17 10:09:00,TMP,32.14,False
2026-07-17 10:10:00,TMP,32.09,True
2026-07-17 10:11:00,TMP,25.1,True
2026-07-17 10:12:00,TMP,34.36,True
2026-07-17 10:13:00,TMP,21.39,False
2026-07-17 10:14:00,TMP,32.71,True
2026-07-17 10:15:00,TMP,32.11,True
2026-07-17 10:16:00,TMP,28.04,True
2026-07-17 10:17:00,TMP,25.68,True
2026-07-17 10:18:00,TMP,32.44,True
2026-07-17 10:19:00,TMP,32.93,True
2026-07-17 10:20:00,TMP,30.57,False
2026-07-17 10:21:00,TMP,23.42,True
2026-07-17 10:22:00,TMP,21.2,True
2026-07-17 10:23:00,TMP,21.52,True
2026-07-17 10:24:00,TMP,29.54,True
2026-07-17 10:25:00,TMP,25.55,True
2026-07-17 10:26:00,TMP,24.0,True
2026-07-17 10:27:00,TMP,29.72,True
2026-07-17 10:28:00,TMP,22.57,True
2026-07-17 10:29:00,TMP,22.45,True
